serialanon,gorehs,hhcomp1,hhsizex,ndepchild,agehrp4x,agehrp6x,emphrpx,ethhrp2x,sexhrp,nbedsx,accomhh1,lenresb,ftbuyer,tenure4,mortwkx,rentwkx,amthbenx,housbenx,HYEARGRx,hhvulx
18190021635,10,1,4,2,2,2,1,2,1,3,3,4,2,1,182.31,-9.00,-9.00,-9,84066.30,2
18190021636,10,1,2,0,4,6,3,1,1,3,1,4,2,1,0.00,-9.00,-9.00,-9,31987.50,2
18190021642,1,1,2,0,4,6,3,1,1,1,2,8,2,1,0.00,-9.00,-9.00,-9,41853.00,1
18190021644,8,1,2,0,4,6,3,1,1,2,5,7,2,1,0.00,-9.00,-9.00,-9,17814.50,2
18190021646,7,1,4,2,2,3,2,1,1,3,3,6,3,2,-9.00,109.00,10.69,1,14382.00,1
18190021647,6,4,2,0,3,4,1,2,1,3,2,4,1,1,149.04,-9.00,-9.00,-9,19760.00,2
18190021648,7,1,2,0,4,6,3,1,2,3,2,8,3,2,-9.00,103.85,47.12,1,12938.00,1
18190021652,2,6,1,0,4,6,1,1,1,1,4,3,3,3,-9.00,87.69,0.00,2,36882.50,2
18190021656,8,3,2,1,3,4,4,2,2,2,5,1,3,2,-9.00,135.98,119.00,1,14700.40,1
18190021658,9,6,1,0,3,5,6,1,1,1,5,4,3,2,-9.00,0.00,0.00,2,5252.00,2
18190021659,8,6,1,0,4,6,3,1,1,1,5,7,1,1,0.00,-9.00,-9.00,-9,13208.00,2
